Total 64 ppg,Winning 32 ppg
85.46452149,71.21199126
76.41544232,64.49566557
80.20511548,74.59606377
49.4013358,65.70973256
54.25166465,63.71593565
86.62515609,69.282806
70.43058093,78.23899198
69.42897513,67.83636891
86.47700057,75.17452723
69.23093175,73.88006346
79.56879752,73.56685461
62.06214209,63.01774592
68.00534477,68.9499725
71.07131235,72.82452679
73.36975082,70.3053922
83.59749529,68.10594523
72.23789248,64.18280034
66.4747573,68.53965966
81.21235703,61.17916129
65.51369585,67.23495218
78.05250062,70.8658581
70.01588646,62.50015533
80.28330165,68.41741771
75.74233343,74.43366042
79.33911605,54.45919946
70.09058119,64.03009313
71.90020743,68.22357419
64.22463799,70.49121523
79.61834405,60.61032269
72.80517632,72.30495043
94.02940492,65.7406766
77.40728783,69.4040534
73.64957341,
71.48550196,
83.40203156,
83.93263445,
55.06025875,
76.58790315,
68.06045793,
70.19402382,
77.97270277,
62.94650902,
89.61731299,
71.3598702,
73.42794342,
51.64752735,
73.26416982,
81.70673295,
70.55440727,
60.99906862,
57.51678573,
87.57077058,
87.02904977,
78.00916783,
92.59549814,
77.80162518,
52.81097886,
57.2934496,
97.91995572,
82.75686302,
72.78527302,
66.05662414,
74.840088,
99.25811323,
